Region,Region Num,Human Rights Violation,Jail,Volume,Population Projection,Crime Rate,Grand Total,Murder,Homicide,Physical Injury,Robbery,Theft,Rape,Cattle rustling,Non Index Crime Rate,Kidnap for Ransom,Total Household Income,Alcoholic Beverages Expenditure,Tobacco Expenditure,Education Expenditure,Number of Cellular phone
I     -  Ilocos Region,1,27,1884,12433,"5,373,180",524,140,14,5,56,13,36,7,1,8,0,559082478,3228256,4371820,13572313,4812
II    -  Cagayan Valley,2,40,1410,3730,"3,479,720",107,70,8,3,24,13,14,3,0,5,0,525410874,3875079,4832705,13019210,4012
III   -  Central Luzon,3,99,5467,22498,"10,545,340",213,114,6,2,32,23,35,7,0,9,4,948328293,3422602,12492119,27470262,7236
IVA - Calabarzon,4,67,7741,19894,12400220,160,78,10,3,21,15,17,7,0,6,7,1262586551,4309381,12805753,41738206,9641
V    -  Bicol Region,5,92,2189,10090,"5,938,100",170,99,7,3,39,13,29,6,0,2,0,460052778,2008651,4813620,16006300,4103
VI   -  Western Visayas,6,22,5323,7777,"7,873,920",99,73,7,4,21,11,22,6,0,2,0,628592073,4639722,6473208,17030396,5058
VII  -  Central Visayas,7,48,7440,20466,"7,313,940",280,179,8,4,36,43,77,4,1,6,1,596904567,2900151,4557112,17806433,4871
VIII -  Eastern Visayas,8,66,1550,4420,"4,633,100",95,57,9,4,20,7,14,2,0,0,0,459773390,2563658,4046545,13715697,3589
IX   -  Zamboanga Peninsula,9,170,3036,8318,"3,629,400",229,139,16,5,43,22,39,5,1,7,3,341509624,1274983,3069002,7971395,2794
X    -  Northern Mindanao,10,134,2730,12258,"4,529,460",271,194,13,3,45,37,78,4,4,9,0,403927030,1284940,3066470,13390208,3248
XI   -  Davao Region,11,241,2497,13526,"4,500,960",301,167,13,4,35,36,73,2,1,4,0,582431470,2410701,5604885,17928549,4353
XII  -  Soccsksargen,12,85,2598,7362,"4,257,840",173,93,12,3,26,16,22,4,2,7,1,388293751,2270867,5765674,13968266,3469
XIII -  Caraga,13,80,1055,3878,"2,649,480",146,96,13,3,25,18,27,4,0,5,1,350888945,1290956,3362486,11569295,2944
IVB - Mimaropa,14,67,730,2523,3177560,214,111,19,6,45,14,10,14,1,3,0,270639721,1730222,2360427,8413941,2094
ARMM,15,0,319,834,"3,708,280",22,16,6,1,4,2,2,0,0,1,6,302910846,174696,4045793,9012731,2608
CAR,16,11,985,10827,"1,764,080",614,378,6,5,140,55,152,9,1,10,0,464957336,1773617,2636784,18216879,3861
NCR,17,159,18369,56978,"11,819,460",482,321,7,3,77,88,118,5,0,22,6,1738159488,5919588,11028117,49649023,10479
